pregunta;respuesta
¿QUÉ ES LA VIOLENCIA INTRAFAMILIAR?;Es el conjunto de actitudes o comportamientos de abuso (ser sexual, físico o psicológico) perpetrados en el hogar o unidad doméstica, generalmente por un miembro de la familia que vive con la víctima, que puede ser esta varón o mujer, infante, adolescente o adulto, con el empleo deliberado de la fuerza. Esto ocurre entre padres, hijos y padres y entre hermanos, por ejemplo. Además, es considera como un grave obstáculo para el desarrollo y la paz.
¿CON QUÉ OTROS NOMBRES ES CONOCIDA LA VIOLENCIA INTRAFAMILIAR?;La violencia intrafamiliar también es conocida como violencia doméstica, violencia familiar o violencia en las familias.
¿CUÁL ES EL OBJETIVO DE LA VIOLENCIA INTRAFAMILIAR?;El objetivo de la violencia intrafamiliar es vencer la resistencia de la víctima y obtener su subyugación, es decir, controlarla y dominarla.
¿CUÁLES SON LOS EFECTOS DE LA VIOLENCIA INTRAFAMILIAR PARA LA VÍCTIMA?;"•	Perjudican su integridad corporal y psicológica
•	Repercuten sobre su independencia e individualidad
•	Miedo, pánico o angustia
•	Heridas y lesiones físicas que, en los peores casos, pueden conducir a la muerte
•	Altos niveles de ansiedad por miedo a volver a ser violentados.
•	Tristeza, desmotivación vital y depresión.
•	Inseguridad y desconfianza absoluta ante los demás.
•	Enfado, ira, rencor y agresividad.
•	Bajos niveles de autoestima.
•	Mutismo, bloqueo emocional e indefension aprendida.
•	También contribuye a la aparición de cánceres, enfermedades del corazón, accidentes cerebrovasculares y VIH/sida, pues las víctimas de la violencia a menudo tratan de hacer frente a sus experiencias traumáticas adoptando comportamientos de riesgo, como consumir tabaco, alcohol y drogas, así como con prácticas sexuales de riesgo. 
•	Sentimientos de soledad y abandono: Pueden sentirse aislados, abandonados y poco queridos.
•	Exclusión del diálogo y la reflexión: La violencia bloquea y dificulta la capacidad para encontrar modos alternativos de resolver conflictos de forma pacífica y dialogada. 
•	Trastornos en la identidad: Pueden tener una mala imagen de sí mismos, creer que son malos y por eso sus padres los castigan físicamente. A veces, como modo de defenderse, desarrollan la creencia de que son fuertes y todopoderosos, capaces de vencer a sus padres y a otros adultos."
¿CUÁLES SON LOS EFECTOS DE LA VIOLENCIA INTRAFAMILIAR PARA LA SOCIEDAD?;"•	Ausentismo laboral entre las mujeres con pareja
•	Incremento de la delincuencia juvenil"
¿CUÁLES SON LAS CAUSAS DE LA VIOLENCIA INTRAFAMILIAR?;"•	Falta de control de impulsos por parte del agresor
•	Carencia afectiva
•	Incapacidad para resolver problemas adecuadamente
•	Comportamientos violentos aprendidos
•	Presencia de ciertas características de personalidad, como impulsividad, rigidez, autoritarismo, falta de empatía, desconfianza o baja tolerancia a la frustración.
•	Heridas producidas en la infancia (abusos, o crianzas autoritarias o desatendidas). 
•	Consumo de cualquier tipo de sustancia tóxica, conductas antisociales.
•	Ciertos factores sociales que inician, mantienen o agravan dichas situaciones como problemas en el ámbito laboral, estrés producido por sobrecarga de tareas, problemas económicos.
•	Sobreprotección paterna y el no establecimiento de ciertos límites que lleva a los hijos a convertirse en pequeños tiranos"
¿CUÁLES SON LOS TIPOS DE VIOLENCIA INTRAFAMILIAR SEGÚN SU NATURALEZA?;"•	Violencia física
•	Violencia psicológica o emocional
•	Violencia sexual
•	Violencia económica o patrimonial"
¿EN QUÉ CONSISTE LA VIOLENCIA FÍSICA?;La violencia física consiste en la invasión del espacio físico de la víctima y puede hacerse de dos maneras, una es el contacto directo con el cuerpo mediante: patadas, empujones, pellizcos, jalón de pelo, golpes, cualquier tipo de contacto físico no deseado y la otra manera es limitar sus movimientos encerrándola, y hasta provocándole lesiones con armas de fuego u otras.
¿EN QUÉ CONSISTE LA VIOLENCIA PSICOLÓGICA O EMOCIONAL?;La violencia psicológica o emocional consiste en acciones u omisiones destinadas a degradar o controlar acciones, creencias y decisiones de la víctima por medio de la amenaza, la intimidación, la cosificación, actos que atacan los sentimientos y las emociones que generalmente se manifiestan mediante críticas, descalificaciones, celos, posesividad, chantajes, aislamiento, castigo, humillaciones, vejaciones, limitaciones, entre otras.
¿EN QUÉ CONSISTE LA VIOLENCIA SEXUAL?;La violencia sexual consiste en imponer a la víctima ideas y actos sexuales no deseados, tocamientos no consentidos, penetrar con objetos a la víctima, la violación, presionar para ver fotografías o videos pornográficos, obligar a que use o no use un método anticonceptivo, burlar la respuesta sexual, obligar a alguien a ser tocado, tener relaciones sexuales cuando no se desea o conductas no deseadas en la relación sexual, acusación de infidelidad, criticar sus preferencias sexuales, el acoso sexual.
